epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2243,1.05883,1.64989,1.61376,0.42698,0.7307,0.65212,0.3418,1.55533,1.66173,2.47289,0.000474522,0.000474522,0.000474522
2,107.62,1.01333,1.21566,1.5531,0.71785,0.82751,0.87667,0.50148,1.45268,1.12421,2.51548,0.000936373,0.000936373,0.000936373
3,156.305,1.00124,1.18753,1.54512,0.65956,0.80763,0.84113,0.53954,1.22358,0.98564,2.16722,0.00138371,0.00138371,0.00138371
4,207.162,0.96574,1.13415,1.51334,0.83251,0.88614,0.93731,0.64752,1.14565,0.73416,1.99415,0.00136371,0.00136371,0.00136371
5,255.858,0.91801,1.05196,1.46689,0.8415,0.8197,0.934,0.63853,1.11146,0.76684,1.98565,0.00134194,0.00134194,0.00134194
6,305.212,0.85808,0.97401,1.42215,0.92568,0.9333,0.9762,0.67381,1.10248,0.62116,1.9545,0.00132018,0.00132018,0.00132018
7,355.368,0.84014,0.93999,1.40921,0.92182,0.93102,0.97471,0.75779,0.84554,0.53113,1.6399,0.00129841,0.00129841,0.00129841
8,403.431,0.81992,0.91207,1.38325,0.94154,0.93754,0.98386,0.78431,0.79563,0.51589,1.61587,0.00127665,0.00127665,0.00127665
9,456.155,0.79376,0.88465,1.36424,0.96167,0.92704,0.97122,0.74498,0.84641,0.53253,1.63776,0.00125488,0.00125488,0.00125488
10,503.102,0.77075,0.85475,1.3469,0.96726,0.9756,0.98378,0.75407,0.86848,0.4602,1.66145,0.00123312,0.00123312,0.00123312
11,550.152,0.75624,0.83242,1.33587,0.96418,0.96542,0.97785,0.7505,0.90512,0.47912,1.70176,0.00121135,0.00121135,0.00121135
12,599.016,0.74135,0.81582,1.32338,0.94915,0.95924,0.97709,0.79792,0.75483,0.45969,1.51758,0.00118959,0.00118959,0.00118959
13,647.904,0.73664,0.79255,1.31486,0.95984,0.92887,0.96904,0.77381,0.78121,0.5064,1.53495,0.00116782,0.00116782,0.00116782
14,696.863,0.71348,0.76374,1.29825,0.95169,0.9543,0.96876,0.7862,0.79657,0.48234,1.52852,0.00114606,0.00114606,0.00114606
15,745.983,0.70175,0.76581,1.2965,0.96682,0.97821,0.98297,0.79682,0.78821,0.42017,1.52338,0.00112429,0.00112429,0.00112429
